"compartment","cell_type","cell_type_tissue"
"immune","plasma cell","plasma cell_Mammary"
"immune","T cell","T cell_Mammary"
"immune","macrophage","macrophage_Mammary"
"endothelial","vein endothelial cell","vein endothelial cell_Mammary"
"stromal","vascular associated smooth muscle cell","vascular associated smooth muscle cell_Mammary"
"epithelial","basal cell","basal cell_Mammary"
"stromal","pericyte","pericyte_Mammary"
"endothelial","endothelial cell of artery","endothelial cell of artery_Mammary"
"immune","mast cell","mast cell_Mammary"
"immune","leukocyte","leukocyte_Uterus"
"stromal","fibroblast","fibroblast_Uterus"
"stromal","myometrial cell","myometrial cell_Uterus"
"epithelial","ciliated epithelial cell","ciliated epithelial cell_Uterus"
"epithelial","epithelial cell","epithelial cell_Uterus"
"immune","T cell","T cell_Uterus"
"immune","macrophage","macrophage_Uterus"
"endothelial","endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel_Uterus"
"stromal","pericyte","pericyte_Uterus"
"endothelial","endothelial cell","endothelial cell_Uterus"
"immune","mature NK T cell","mature NK T cell_Uterus"
"epithelial","epithelial cell of uterus","epithelial cell of uterus_Uterus"
"immune","B cell","B cell_Uterus"
"stromal","vascular associated smooth muscle cell","vascular associated smooth muscle cell_Uterus"
"epithelial","conjunctival epithelial cell","conjunctival epithelial cell_Eye"
"immune","microglial cell","microglial cell_Eye"
"stromal","Mueller cell","Mueller cell_Eye"
"epithelial","retinal pigment epithelial cell","retinal pigment epithelial cell_Eye"
"stromal","melanocyte","melanocyte_Eye"
"epithelial","surface ectodermal cell","surface ectodermal cell_Eye"
"stromal","radial glial cell","radial glial cell_Eye"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Eye"
"stromal","fibroblast","fibroblast_Eye"
"immune","macrophage","macrophage_Eye"
"epithelial","keratocyte","keratocyte_Eye"
"epithelial","eye photoreceptor cell","eye photoreceptor cell_Eye"
"immune","CD4-positive, alpha-beta T cell","CD4 positive alpha beta T cell_Eye"
"immune","T cell","T cell_Eye"
"stromal","stromal cell","stromal cell_Eye"
"epithelial","epithelial cell of lacrimal sac","epithelial cell of lacrimal sac_Eye"
"immune","CD141-positive myeloid dendritic cell","CD141 positive myeloid dendritic cell_Blood"
"epithelial","stem cell","stem cell_Eye"
"epithelial","corneal epithelial cell","corneal epithelial cell_Eye"
"immune","monocyte","monocyte_Eye"
"immune","B cell","B cell_Eye"
"immune","macrophage","macrophage_Fat"
"stromal","fibroblast","fibroblast_Fat"
"endothelial","endothelial cell","endothelial cell_Fat"
"stromal","myofibroblast cell","myofibroblast cell_Fat"
"immune","T cell","T cell_Fat"
"immune","plasma cell","plasma cell_Fat"
"immune","mature NK T cell","mature NK T cell_Fat"
"immune","neutrophil","neutrophil_Fat"
"immune","mesenchymal stem cell","mesenchymal stem cell_Fat"
"stromal","stromal cell","stromal cell_Skin"
"endothelial","endothelial cell","endothelial cell_Skin"
"immune","macrophage","macrophage_Skin"
"immune","CD8-positive, alpha-beta memory T cell","CD8 positive alpha beta memory T cell_Skin"
"immune","CD1c-positive myeloid dendritic cell","CD1c positive myeloid dendritic cell_Skin"
"immune","mast cell","mast cell_Skin"
"immune","T cell","T cell_Skin"
"stromal","muscle cell","muscle cell_Skin"
"immune","plasma cell","plasma cell_Skin"
"epithelial","epithelial cell","epithelial cell_Skin"
"immune","CD4-positive, alpha-beta memory T cell","CD4 positive alpha beta memory T cell_Skin"
"immune","CD8-positive, alpha-beta cytotoxic T cell","CD8 positive alpha beta cytotoxic T cell_Skin"
"immune","mature NK T cell","mature NK T cell_Skin"
"immune","CD4-positive helper T cell","CD4 positive helper T cell_Skin"
"stromal","melanocyte","melanocyte_Skin"
"immune","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus derived CD4 positive alpha beta T cell_Skin"
"immune","naive thymus-derived CD8-positive, alpha-beta T cell","naive thymus derived CD8 positive alpha beta T cell_Skin"
"immune","regulatory T cell","regulatory T cell_Skin"
"stromal","cardiac muscle cell","cardiac muscle cell_Heart"
"stromal","smooth muscle cell","smooth muscle cell_Heart"
"endothelial","cardiac endothelial cell","cardiac endothelial cell_Heart"
"stromal","fibroblast of cardiac tissue","fibroblast of cardiac tissue_Heart"
"immune","macrophage","macrophage_Heart"
"immune","T cell","T cell_Pancreas"
"immune","myeloid cell","myeloid cell_Pancreas"
"epithelial","pancreatic acinar cell","pancreatic acinar cell_Pancreas"
"immune","mature NK T cell","mature NK T cell_Pancreas"
"immune","B cell","B cell_Pancreas"
"epithelial","pancreatic ductal cell","pancreatic ductal cell_Pancreas"
"stromal","pancreatic stellate cell","pancreatic stellate cell_Pancreas"
"immune","plasma cell","plasma cell_Pancreas"
"endothelial","endothelial cell","endothelial cell_Pancreas"
"epithelial","type B pancreatic cell","type B pancreatic cell_Pancreas"
"immune","mast cell","mast cell_Pancreas"
"stromal","fibroblast","fibroblast_Pancreas"
"epithelial","basal cell of prostate epithelium","basal cell of prostate epithelium_Prostate"
"epithelial","epithelial cell","epithelial cell_Prostate"
"immune","macrophage","macrophage_Prostate"
"epithelial","club cell","club cell_Prostate"
"stromal","smooth muscle cell","smooth muscle cell_Prostate"
"endothelial","endothelial cell","endothelial cell_Prostate"
"stromal","fibroblast","fibroblast_Prostate"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Prostate"
"immune","mature NK T cell","mature NK T cell_Prostate"
"epithelial","luminal cell of prostate epithelium","luminal cell of prostate epithelium_Prostate"
"immune","erythroid progenitor cell","erythroid progenitor cell_Prostate"
"endothelial","endothelial cell","endothelial cell_Liver"
"immune","erythrocyte","erythrocyte_Liver"
"epithelial","intrahepatic cholangiocyte","intrahepatic cholangiocyte_Liver"
"immune","neutrophil","neutrophil_Liver"
"immune","macrophage","macrophage_Salivary Gland"
"immune","neutrophil","neutrophil_Salivary Gland"
"epithelial","ionocyte","ionocyte_Salivary Gland"
"epithelial","salivary gland cell","salivary gland cell_Salivary Gland"
"endothelial","retinal blood vessel endothelial cell","retinal blood vessel endothelial cell_Eye"
"endothelial","endothelial cell","endothelial cell_Eye"
"epithelial","pigmented ciliary epithelial cell","pigmented ciliary epithelial cell_Eye"
"immune","erythroid lineage cell","erythroid lineage cell_Eye"
"immune","plasma cell","plasma cell_Eye"
"immune","dendritic cell","dendritic cell_Eye"
"stromal","adipocyte","adipocyte_Eye"
"epithelial","bladder urothelial cell","bladder urothelial cell_Bladder"
"stromal","smooth muscle cell","smooth muscle cell_Bladder"
"stromal","fibroblast","fibroblast_Bladder"
"stromal","pericyte","pericyte_Bladder"
"immune","macrophage","macrophage_Bladder"
"immune","T cell","T cell_Bladder"
"endothelial","endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel_Bladder"
"stromal","myofibroblast cell","myofibroblast cell_Bladder"
"immune","mast cell","mast cell_Bladder"
"epithelial","enterocyte of epithelium of large intestine","enterocyte of epithelium of large intestine_Large Intestine"
"immune","plasma cell","plasma cell_Large Intestine"
"epithelial","large intestine goblet cell","large intestine goblet cell_Large Intestine"
"epithelial","paneth cell of colon","paneth cell of colon_Large Intestine"
"immune","CD4-positive, alpha-beta T cell","CD4 positive alpha beta T cell_Large Intestine"
"stromal","fibroblast","fibroblast_Large Intestine"
"immune","monocyte","monocyte_Large Intestine"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Large Intestine"
"epithelial","transit amplifying cell of colon","transit amplifying cell of colon_Large Intestine"
"epithelial","intestinal crypt stem cell of large intestine","intestinal crypt stem cell of large intestine_Large Intestine"
"immune","B cell","B cell_Large Intestine"
"epithelial","intestinal enteroendocrine cell","intestinal enteroendocrine cell_Large Intestine"
"endothelial","gut endothelial cell","gut endothelial cell_Large Intestine"
"epithelial","intestinal tuft cell","intestinal tuft cell_Large Intestine"
"epithelial","type II pneumocyte","type II pneumocyte_Lung"
"immune","effector CD4-positive, alpha-beta T cell","effector CD4 positive alpha beta T cell_Lung"
"immune","neutrophil","neutrophil_Lung"
"endothelial","blood vessel endothelial cell","blood vessel endothelial cell_Lung"
"stromal","adventitial cell","adventitial cell_Lung"
"immune","mature NK T cell","mature NK T cell_Lung"
"stromal","smooth muscle cell","smooth muscle cell_Lung"
"immune","T cell","T cell_Prostate"
"immune","myeloid cell","myeloid cell_Prostate"
"immune","neutrophil","neutrophil_Prostate"
"epithelial","transit amplifying cell of small intestine","transit amplifying cell of small intestine_Small Intestine"
"epithelial","small intestine goblet cell","small intestine goblet cell_Small Intestine"
"epithelial","enterocyte of epithelium of small intestine","enterocyte of epithelium of small intestine_Small Intestine"
"immune","plasma cell","plasma cell_Small Intestine"
"immune","CD4-positive, alpha-beta T cell","CD4 positive alpha beta T cell_Small Intestine"
"epithelial","intestinal tuft cell","intestinal tuft cell_Small Intestine"
"epithelial","paneth cell of epithelium of small intestine","paneth cell of epithelium of small intestine_Small Intestine"
"immune","B cell","B cell_Small Intestine"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Small Intestine"
"immune","monocyte","monocyte_Small Intestine"
"epithelial","intestinal crypt stem cell of small intestine","intestinal crypt stem cell of small intestine_Small Intestine"
"immune","neutrophil","neutrophil_Small Intestine"
"endothelial","gut endothelial cell","gut endothelial cell_Small Intestine"
"epithelial","intestinal enteroendocrine cell","intestinal enteroendocrine cell_Small Intestine"
"stromal","fibroblast","fibroblast_Small Intestine"
"stromal","smooth muscle cell","smooth muscle cell_Skin"
"immune","Langerhans cell","Langerhans cell_Skin"
"stromal","cell of skeletal muscle","cell of skeletal muscle_Skin"
"immune","CD141-positive myeloid dendritic cell","CD141 positive myeloid dendritic cell_Skin"
"immune","innate lymphoid cell","innate lymphoid cell_Thymus"
"immune","DN1 thymic pro-T cell","DN1 thymic pro T cell_Thymus"
"immune","plasma cell","plasma cell_Thymus"
"immune","DN3 thymocyte","DN3 thymocyte_Thymus"
"epithelial","medullary thymic epithelial cell","medullary thymic epithelial cell_Thymus"
"endothelial","capillary endothelial cell","capillary endothelial cell_Thymus"
"immune","macrophage","macrophage_Thymus"
"stromal","vascular associated smooth muscle cell","vascular associated smooth muscle cell_Thymus"
"stromal","fibroblast","fibroblast_Thymus"
"endothelial","vein endothelial cell","vein endothelial cell_Thymus"
"immune","monocyte","monocyte_Thymus"
"endothelial","endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel_Thymus"
"immune","erythrocyte","erythrocyte_Thymus"
"endothelial","endothelial cell of artery","endothelial cell of artery_Thymus"
"immune","B cell","B cell_Thymus"
"epithelial","keratinocyte","keratinocyte_Tongue"
"endothelial","capillary endothelial cell","capillary endothelial cell_Tongue"
"immune","neutrophil","neutrophil_Bone Marrow"
"immune","monocyte","monocyte_Bone Marrow"
"immune","erythroid progenitor cell","erythroid progenitor cell_Bone Marrow"
"immune","granulocyte","granulocyte_Bone Marrow"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Bone Marrow"
"immune","plasma cell","plasma cell_Bone Marrow"
"immune","memory B cell","memory B cell_Bone Marrow"
"immune","CD4-positive, alpha-beta T cell","CD4 positive alpha beta T cell_Bone Marrow"
"immune","common myeloid progenitor","common myeloid progenitor_Bone Marrow"
"immune","hematopoietic stem cell","hematopoietic stem cell_Bone Marrow"
"immune","erythrocyte","erythrocyte_Bone Marrow"
"immune","mature NK T cell","mature NK T cell_Bone Marrow"
"stromal","smooth muscle cell","smooth muscle cell_Fat"
"epithelial","respiratory goblet cell","respiratory goblet cell_Lung"
"endothelial","endothelial cell","endothelial cell_Lymph Node"
"immune","erythrocyte","erythrocyte_Lymph Node"
"stromal","stromal cell","stromal cell_Lymph Node"
"stromal","mesenchymal stem cell","mesenchymal stem cell_Muscle"
"stromal","fast muscle cell","fast muscle cell_Muscle"
"endothelial","capillary endothelial cell","capillary endothelial cell_Muscle"
"stromal","skeletal muscle satellite stem cell","skeletal muscle satellite stem cell_Muscle"
"stromal","pericyte","pericyte_Muscle"
"immune","macrophage","macrophage_Muscle"
"stromal","smooth muscle cell","smooth muscle cell_Muscle"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Muscle"
"endothelial","endothelial cell of vascular tree","endothelial cell of vascular tree_Muscle"
"stromal","tendon cell","tendon cell_Muscle"
"stromal","slow muscle cell","slow muscle cell_Muscle"
