"compartment","cell_type","cell_type_tissue"
"epithelial","basal cell of prostate epithelium","basal cell of prostate epithelium_Prostate"
"epithelial","club cell","club cell_Prostate"
"immune","erythroid progenitor cell","erythroid progenitor cell_Prostate"
"epithelial","luminal cell of prostate epithelium","luminal cell of prostate epithelium_Prostate"
"epithelial","salivary gland cell","salivary gland cell_Salivary_Gland"
"stromal","adipocyte","adipocyte_Eye"
"stromal","retinal ganglion cell","retinal ganglion cell_Eye"
"epithelial","bladder urothelial cell","bladder urothelial cell_Bladder"
"epithelial","enterocyte of epithelium of large intestine","enterocyte of epithelium of large intestine_Large_Intestine"
"epithelial","large intestine goblet cell","large intestine goblet cell_Large_Intestine"
"epithelial","paneth cell of colon","paneth cell of colon_Large_Intestine"
"epithelial","transit amplifying cell of colon","transit amplifying cell of colon_Large_Intestine"
"endothelial","gut endothelial cell","gut endothelial cell_Large_Intestine"
"epithelial","intestinal crypt stem cell of large intestine","intestinal crypt stem cell of large intestine_Large_Intestine"
"epithelial","intestinal enteroendocrine cell","intestinal enteroendocrine cell_Large_Intestine"
"epithelial","intestinal tuft cell","intestinal tuft cell_Large_Intestine"
"epithelial","type II pneumocyte","type II pneumocyte_Lung"
"endothelial","blood vessel endothelial cell","blood vessel endothelial cell_Lung"
"epithelial","respiratory goblet cell","respiratory goblet cell_Lung"
"epithelial","enterocyte of epithelium of small intestine","enterocyte of epithelium of small intestine_Small_Intestine"
"epithelial","transit amplifying cell of small intestine","transit amplifying cell of small intestine_Small_Intestine"
"epithelial","small intestine goblet cell","small intestine goblet cell_Small_Intestine"
"epithelial","paneth cell of epithelium of small intestine","paneth cell of epithelium of small intestine_Small_Intestine"
"epithelial","intestinal crypt stem cell of small intestine","intestinal crypt stem cell of small intestine_Small_Intestine"
"stromal","cell of skeletal muscle","cell of skeletal muscle_Skin"
"immune","DN3 thymocyte","DN3 thymocyte_Thymus"
"immune","DN1 thymic pro T cell","DN1 thymic pro-T cell_Thymus"
"immune","DN4 thymocyte","DN4 thymocyte_Thymus"
"epithelial","medullary thymic epithelial cell","medullary thymic epithelial cell_Thymus"
"immune","myeloid dendritic cell","myeloid dendritic cell_Thymus"
"stromal","Schwann cell","Schwann cell_Tongue"
"immune","granulocyte","granulocyte_Bone_Marrow"
"immune","common myeloid progenitor","common myeloid progenitor_Bone_Marrow"
"stromal","skeletal muscle satellite stem cell","skeletal muscle satellite stem cell_Muscle"
